         1365951 function calls (1341936 primitive calls) in 133.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12095    0.028    0.000    0.032    0.000 /usr/lib/python3.5/contextlib.py:37(__init__)
        1    0.000    0.000    0.032    0.032 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:166(save_op)
        1    0.000    0.000    0.032    0.032 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_io_ops.py:1664(save_v2)
        6    0.000    0.000    0.031    0.005 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/random_ops.py:37(_ShapeTensor)
        3    0.000    0.000    0.031    0.010 /usr/lib/python3.5/genericpath.py:39(isdir)
     2327    0.003    0.000    0.031    0.000 /usr/lib/python3.5/posixpath.py:355(abspath)
       37    0.000    0.000    0.030    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:1252(_ReductionDims)
     9103    0.029    0.000    0.029    0.000 {built-in method posix.lstat}
     6887    0.010    0.000    0.029    0.000 /usr/local/lib/python3.5/dist-packages/numpy/lib/twodim_base.py:36(fliplr)
     5180    0.006    0.000    0.028    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/c_api_util.py:141(tf_buffer)
       18    0.000    0.000    0.028    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_math_ops.py:8361(_sum)
     4288    0.026    0.000    0.028    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:5030(get_controller)
     4802    0.019    0.000    0.027    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/numeric.py:1468(normalize_axis_tuple)
      347    0.003    0.000    0.026    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1853(colocation_groups)
     2422    0.005    0.000    0.025    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:2130(inputs)
     9107    0.015    0.000    0.025    0.000 /usr/lib/python3.5/posixpath.py:71(join)
     8941    0.023    0.000    0.025    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/_methods.py:48(_count_reduce_items)
       16    0.000    0.000    0.025    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/control_flow_ops.py:3371(group)
        2    0.025    0.012    0.025    0.012 /home/sujithpk/Desktop/road/src/cnn_model.py:120(num_of_datapoints_per_class)
        9    0.000    0.000    0.024    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/summary/summary.py:95(image)
     4802    0.003    0.000    0.024    0.000 /usr/local/lib/python3.5/dist-packages/numpy/core/_methods.py:34(_sum)
       25    0.000    0.000    0.024    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:1504(_constant_if_small)
        9    0.000    0.000    0.023    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:1339(transpose)
     2327    0.015    0.000    0.023    0.000 /usr/lib/python3.5/posixpath.py:318(normpath)
        9    0.000    0.000    0.023    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:1545(reduce_min)
        9    0.000    0.000    0.023    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:1594(reduce_max)
     1184    0.006    0.000    0.023    0.000 /usr/lib/python3.5/inspect.py:656(getsourcefile)
       19    0.000    0.000    0.022    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/array_ops.py:198(shape)
